series_id        	year	period	       value	footnote_codes
PRS88003143      	2005	Q04	      88.081	
PRS88003143      	2005	Q05	      87.034	
PRS88003143      	2006	Q01	      88.629	
PRS88003143      	2006	Q02	      89.251	
PRS88003143      	2006	Q03	      89.942	
PRS88003143      	2006	Q04	      90.088	
PRS88003143      	2006	Q05	      89.481	
PRS88003143      	2007	Q01	      90.676	
PRS88003143      	2007	Q02	      91.152	
PRS88003143      	2007	Q03	      91.792	
PRS88003143      	2007	Q04	      92.123	
PRS88003143      	2007	Q05	      91.433	
PRS88003143      	2008	Q01	      92.542	
PRS88003143      	2008	Q02	      92.529	
PRS88003143      	2008	Q03	      93.460	
PRS88003143      	2008	Q04	      94.745	
PRS88003143      	2008	Q05	      93.309	
PRS88003143      	2009	Q01	      95.334	
PRS88003143      	2009	Q02	      94.613	
PRS88003143      	2009	Q03	      94.228	
PRS88003143      	2009	Q04	      94.306	
PRS88003143      	2009	Q05	      94.617	
PRS88003143      	2010	Q01	      94.582	
PRS88003143      	2010	Q02	      95.237	
PRS88003143      	2010	Q03	      96.100	
PRS88003143      	2010	Q04	      96.890	
PRS88003143      	2010	Q05	      95.708	
PRS88003143      	2011	Q01	      97.128	
PRS88003143      	2011	Q02	      97.812	
PRS88003143      	2011	Q03	      98.371	
PRS88003143      	2011	Q04	      98.499	
PRS88003143      	2011	Q05	      97.958	
PRS88003143      	2012	Q01	      99.096	
PRS88003143      	2012	Q02	      99.887	
PRS88003143      	2012	Q03	     100.469	
PRS88003143      	2012	Q04	     100.543	
PRS88003143      	2012	Q05	     100.000	
PRS88003143      	2013	Q01	     101.323	
PRS88003143      	2013	Q02	     101.058	
PRS88003143      	2013	Q03	     101.251	
PRS88003143      	2013	Q04	     101.818	
PRS88003143      	2013	Q05	     101.363	
PRS88003143      	2014	Q01	     102.141	
PRS88003143      	2014	Q02	     103.147	
PRS88003143      	2014	Q03	     103.510	
PRS88003143      	2014	Q04	     103.526	
PRS88003143      	2014	Q05	     103.089	
PRS88003143      	2015	Q01	     103.421	
PRS88003143      	2015	Q02	     103.962	
PRS88003143      	2015	Q03	     104.339	
PRS88003143      	2015	Q04	     104.353	
PRS88003143      	2015	Q05	     104.019	
PRS88003143      	2016	Q01	     104.145	
PRS88003143      	2016	Q02	     104.746	
PRS88003143      	2016	Q03	     105.004	
PRS88003143      	2016	Q04	     105.481	
PRS88003143      	2016	Q05	     104.844	
PRS88003143      	2017	Q01	     106.097	
PRS88003143      	2017	Q02	     106.413	
PRS88003143      	2017	Q03	     106.941	
PRS88003143      	2017	Q04	     107.564	
PRS88003143      	2017	Q05	     106.754	
PRS88003143      	2018	Q01	     108.073	
PRS88003143      	2018	Q02	     108.929	
PRS88003143      	2018	Q03	     109.382	
PRS88003143      	2018	Q04	     109.904	
PRS88003143      	2018	Q05	     109.072	
PRS88003143      	2019	Q01	     110.371	
PRS88003143      	2019	Q02	     111.034	
PRS88003143      	2019	Q03	     111.484	
PRS88003143      	2019	Q04	     111.899	
PRS88003143      	2019	Q05	     111.198	
PRS88003143      	2020	Q01	     112.068	
PRS88003143      	2020	Q02	     110.847	
PRS88003143      	2020	Q03	     112.143	
PRS88003151      	1995	Q01	        -0.9	
PRS88003151      	1995	Q02	        -0.9	
PRS88003151      	1995	Q03	         0.0	
PRS88003151      	1995	Q04	         0.3	
PRS88003151      	1995	Q05	        -0.4	
PRS88003151      	1996	Q01	         0.5	
PRS88003151      	1996	Q02	         0.5	
PRS88003151      	1996	Q03	         0.8	
PRS88003151      	1996	Q04	         0.2	
PRS88003151      	1996	Q05	         0.5	
PRS88003151      	1997	Q01	         0.4	
PRS88003151      	1997	Q02	         1.0	
PRS88003151      	1997	Q03	         1.5	
PRS88003151      	1997	Q04	         3.0	
PRS88003151      	1997	Q05	         1.5	
PRS88003151      	1998	Q01	         3.9	
PRS88003151      	1998	Q02	         4.5	R
PRS88003151      	1998	Q03	         5.0	
PRS88003151      	1998	Q04	         4.0	
PRS88003151      	1998	Q05	         4.3	
PRS88003151      	1999	Q01	         4.4	
PRS88003151      	1999	Q02	         3.0	
PRS88003151      	1999	Q03	         1.8	
PRS88003151      	1999	Q04	         2.6	
PRS88003151      	1999	Q05	         2.9	
PRS88003151      	2000	Q01	         3.3	
PRS88003151      	2000	Q02	         3.2	
PRS88003151      	2000	Q03	         4.2	
PRS88003151      	2000	Q04	         3.2	
PRS88003151      	2000	Q05	         3.5	
PRS88003151      	2001	Q01	        -0.7	
PRS88003151      	2001	Q02	        -0.2	R
PRS88003151      	2001	Q03	        -1.0	
PRS88003151      	2001	Q04	         0.1	
PRS88003151      	2001	Q05	        -0.5	
PRS88003151      	2002	Q01	         0.8	
PRS88003151      	2002	Q02	         0.8	
PRS88003151      	2002	Q03	         0.5	
PRS88003151      	2002	Q04	        -0.9	
PRS88003151      	2002	Q05	         0.3	
